시도교육청코드,행정표준코드,학교명,도로명주소,홈페이지주소
B10,7130179,방이중학교,서울특별시 송파구 오금로11길 64,http://bangi.sen.ms.kr
B10,7051181,방학중학교,서울특별시 도봉구 시루봉로 188,http://banghak.sen.ms.kr
B10,7081495,방화중학교,서울특별시 강서구 개화동로27길 9,http://banghwa.sen.ms.kr
B10,7010168,배명고등학교,서울특별시 송파구 삼학사로 11,http://bm.sen.hs.kr
B10,7130180,배명중학교,서울특별시 송파구 삼학사로 11,http://bm.sen.ms.kr/
B10,7010169,배문고등학교,서울특별시 용산구 효창원로 258,http://baemoon.sen.hs.kr
B10,7061101,배문중학교,서울특별시 용산구 효창원로 258,http://baemoon.sen.ms.kr
B10,7010170,배재고등학교,서울특별시 강동구 고덕로 227,http://paichai.sen.hs.kr
B10,7130181,배재중학교,서울특별시 강동구 고덕로 227,http://paichai.sen.ms.kr
B10,7010171,배화여자고등학교,서울특별시 종로구 필운대로1길 34,http://paiwha.sen.hs.kr/
B10,7061102,배화여자중학교,서울특별시 종로구 필운대로1길 34,http://paiwha.sen.ms.kr
B10,7081496,백석중학교,서울특별시 강서구 등촌로51나길 35,http://baekseok.sen.ms.kr
B10,7010172,백암고등학교,서울특별시 양천구 신정로13길 16,http://baegam.sen.hs.kr
B10,7051182,백운중학교,서울특별시 도봉구 도봉로129길 50,http://baekwoon.sen.ms.kr
B10,7121344,번동중학교,서울특별시 강북구 오현로35길 87,http://beondong.sen.ms.kr
B10,7010173,보성고등학교,서울특별시 송파구 양재대로 1278,http://posung.sen.hs.kr
B10,7010174,보성여자고등학교,서울특별시 용산구 신흥로3가길 66,http://bosung.sen.hs.kr
B10,7061103,보성여자중학교,서울특별시 용산구 신흥로3가길 66,http://bosung-g.sen.ms.kr
B10,7130182,보성중학교,서울특별시 송파구 양재대로 1278,http://posung.sen.ms.kr/
B10,7010813,보인고등학교,서울특별시 송파구 오금로49길 18,http://boin.sen.hs.kr
B10,7130183,보인중학교,서울특별시 송파구 오금로49길 18,http://boin.sen.ms.kr
B10,7132139,봉림중학교,서울특별시 관악구 장군봉길 72,http://bongrim.sen.ms.kr
